x y theta v w
-3.99103 0.267653 4.64543 0.499553 0.124887
-3.99406 0.217789 4.65791 0.499552 0.124887
-3.99647 0.167891 4.6704 0.49955 0.124887
-3.99826 0.117967 4.68289 0.49955 0.124886
-3.99942 0.0680244 4.69538 0.499549 0.124886
-3.99996 0.0180715 4.70787 0.499548 0.124886
-3.99987 -0.0318842 4.72036 0.499548 0.124886
-3.99916 -0.081835 4.73285 0.499548 0.124886
-3.99783 -0.131773 4.74534 0.499548 0.124886
-3.99587 -0.18169 4.75783 0.499549 0.124886
-3.99329 -0.23158 4.77031 0.499549 0.124886
-3.99008 -0.281433 4.7828 0.49955 0.124886
-3.98626 -0.331242 4.79529 0.499551 0.124887
-3.98181 -0.381 4.80778 0.499552 0.124887
-3.97674 -0.430698 4.82027 0.499554 0.124887
-3.97105 -0.48033 4.83276 0.499556 0.124888
-3.96474 -0.529886 4.84525 0.499557 0.124888
-3.95782 -0.579361 4.85774 0.49956 0.124889
-3.95027 -0.628745 4.87023 0.499562 0.124889
-3.94211 -0.678031 4.88272 0.499565 0.12489
-3.93334 -0.727212 4.89521 0.499568 0.124891
-3.92395 -0.77628 4.9077 0.499571 0.124892
-3.91395 -0.825226 4.92019 0.499574 0.124892
-3.90334 -0.874045 4.93267 0.499577 0.124893
-3.89212 -0.922727 4.94516 0.499581 0.124894
-3.88029 -0.971266 4.95765 0.499585 0.124895
-3.86785 -1.01965 4.97014 0.499589 0.124896
-3.85482 -1.06788 4.98263 0.499594 0.124897
-3.84118 -1.11595 4.99512 0.499598 0.124899
-3.82694 -1.16384 5.00761 0.499603 0.1249
-3.81211 -1.21154 5.0201 0.499608 0.124901
-3.79668 -1.25906 5.0326 0.499613 0.124902
-3.78065 -1.30639 5.04509 0.499619 0.124904
-3.76404 -1.35351 5.05758 0.499625 0.124905
-3.74684 -1.40042 5.07007 0.499631 0.124907
-3.72906 -1.44711 5.08256 0.499637 0.124908
-3.71069 -1.49358 5.09505 0.499643 0.12491
-3.69175 -1.53981 5.10754 0.49965 0.124912
-3.67222 -1.58581 5.12003 0.499657 0.124913
-3.65213 -1.63155 5.13252 0.499664 0.124915
-3.63146 -1.67705 5.14502 0.499671 0.124917
-3.61023 -1.72228 5.15751 0.499678 0.124919
-3.58843 -1.76725 5.17 0.499686 0.124921
-3.56608 -1.81194 5.18249 0.499694 0.124923
-3.54316 -1.85634 5.19499 0.499702 0.124925
-3.5197 -1.90046 5.20748 0.499711 0.124927
-3.49568 -1.94429 5.21997 0.499719 0.124929
-3.47112 -1.98781 5.23247 0.499728 0.124931
-3.44601 -2.03102 5.24496 0.499737 0.124934
-3.42037 -2.07391 5.25745 0.499746 0.124936
-3.39419 -2.11648 5.26995 0.499756 0.124939
-3.36748 -2.15872 5.28244 0.499766 0.124941
-3.34025 -2.20063 5.29494 0.499775 0.124944
-3.31249 -2.24219 5.30743 0.499786 0.124946
-3.28422 -2.28341 5.31993 0.499796 0.124949
-3.25543 -2.32427 5.33242 0.499807 0.124951
-3.22614 -2.36476 5.34492 0.499817 0.124954
-3.19633 -2.40489 5.35741 0.499828 0.124957
-3.16603 -2.44464 5.36991 0.49984 0.12496
-3.13524 -2.48402 5.38241 0.499851 0.124963
-3.10395 -2.523 5.3949 0.499863 0.124966
-3.07218 -2.56159 5.4074 0.499875 0.124969
-3.03993 -2.59979 5.4199 0.499887 0.124972
-3.0072 -2.63757 5.43239 0.499899 0.124975
-2.974 -2.67495 5.44489 0.499912 0.124978
-2.94034 -2.71191 5.45739 0.499925 0.124982
-2.90622 -2.74845 5.46989 0.499938 0.124985
-2.87164 -2.78456 5.48239 0.499951 0.124988
-2.83661 -2.82023 5.49489 0.499965 0.124992
-2.80114 -2.85547 5.50739 0.499978 0.124995
-2.76523 -2.89026 5.51989 0.499992 0.124999
-2.72888 -2.9246 5.53239 0.500006 0.125002
-2.69211 -2.95848 5.54489 0.500021 0.125006
-2.65492 -2.9919 5.55739 0.500035 0.12501
-2.61731 -3.02486 5.56989 0.50005 0.125013
-2.57929 -3.05734 5.58239 0.500065 0.125017
-2.54087 -3.08935 5.59489 0.50008 0.125021
-2.50204 -3.12088 5.6074 0.500096 0.125025
-2.46283 -3.15191 5.6199 0.500111 0.125029
-2.42323 -3.18246 5.6324 0.500127 0.125033
-2.38325 -3.21251 5.64491 0.500143 0.125037
-2.34289 -3.24206 5.65741 0.50016 0.125041
-2.30217 -3.2711 5.66992 0.500176 0.125046
-2.26109 -3.29963 5.68242 0.500193 0.12505
-2.21965 -3.32765 5.69493 0.50021 0.125054
-2.17786 -3.35515 5.70743 0.500227 0.125058
-2.13573 -3.38212 5.71994 0.500245 0.125063
-2.09327 -3.40857 5.73245 0.500262 0.125067
-2.05047 -3.43448 5.74495 0.50028 0.125072
-2.00736 -3.45986 5.75746 0.500298 0.125077
-1.96393 -3.48469 5.76997 0.500317 0.125081
-1.92019 -3.50899 5.78248 0.500335 0.125086
-1.87614 -3.53273 5.79499 0.500354 0.125091
-1.83181 -3.55592 5.8075 0.500373 0.125096
-1.78718 -3.57856 5.82001 0.500392 0.1251
-1.74227 -3.60064 5.83252 0.500412 0.125105
-1.69709 -3.62215 5.84503 0.500431 0.12511
-1.65164 -3.6431 5.85754 0.500451 0.125115
-1.60593 -3.66348 5.87005 0.500471 0.125121
-1.55997 -3.68329 5.88257 0.500492 0.125126
-1.51376 -3.70252 5.89508 0.500512 0.125131
-1.46731 -3.72117 5.90759 0.500533 0.125136
-1.42063 -3.73924 5.92011 0.500554 0.125142
-1.37373 -3.75673 5.93262 0.500575 0.125147
-1.3266 -3.77362 5.94514 0.500596 0.125152
-1.27927 -3.78993 5.95765 0.500618 0.125158
-1.23174 -3.80564 5.97017 0.50064 0.125163
-1.18401 -3.82076 5.98269 0.500662 0.125169
-1.13609 -3.83528 5.9952 0.500684 0.125175
-1.088 -3.8492 6.00772 0.500707 0.12518
-1.03973 -3.86252 6.02024 0.500729 0.125186
-0.991293 -3.87523 6.03276 0.500752 0.125192
-0.942701 -3.88734 6.04528 0.500775 0.125198
-0.893959 -3.89884 6.0578 0.500799 0.125204
-0.845075 -3.90972 6.07032 0.500822 0.12521
-0.796055 -3.92 6.08284 0.500846 0.125216
-0.746909 -3.92966 6.09536 0.50087 0.125222
-0.697643 -3.9387 6.10789 0.500894 0.125228
-0.648265 -3.94713 6.12041 0.500919 0.125234
-0.598784 -3.95494 6.13293 0.500944 0.125241
-0.549205 -3.96213 6.14546 0.500969 0.125247
-0.499539 -3.96869 6.15798 0.500994 0.125253
-0.449791 -3.97464 6.17051 0.501019 0.12526
-0.39997 -3.97996 6.18304 0.501045 0.125266
-0.350084 -3.98466 6.19556 0.50107 0.125273
-0.300141 -3.98873 6.20809 0.501096 0.125279
-0.250147 -3.99218 6.22062 0.501122 0.125286
-0.200112 -3.995 6.23315 0.501149 0.125293
-0.150043 -3.99719 6.24568 0.501176 0.1253
-0.0999476 -3.99875 6.25821 0.501202 0.125306
-0.0498338 -3.99969 6.27074 0.501229 0.125313
0.000290578 -4 6.28327 0.501257 0.12532
0.0504176 -3.99968 6.29581 0.501284 0.125147
0.100539 -3.99874 6.30832 0.500737 0.125082
0.150533 -3.99717 6.32083 0.500073 0.125112
0.200483 -3.99497 6.33333 0.499965 0.125011
0.250401 -3.99215 6.34583 0.499951 0.124989
0.300277 -3.98871 6.35833 0.499938 0.124986
0.350106 -3.98465 6.37082 0.499925 0.124983
0.399879 -3.97996 6.38332 0.499912 0.124979
0.449588 -3.97465 6.39582 0.4999 0.124976
