time,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,linear_velocity_x,linear_velocity_y,linear_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
48.4,-3.131672899059747,0.6767012751475554,0.0,-3.4193918454428028e-06,9.568095583428032e-07,-0.34590263321806075,0.9382703782709081,0.5077252880142428,0.034726387082768775,0.0,0.0,0.0,0.20518610316100297
48.410000000000004,-3.127708985248433,0.6737676517596128,0.0,-3.383215555770565e-06,9.7057407830517e-07,-0.3449711534141196,0.9386132527052853,0.507720651458029,0.03467275265053625,0.0,0.0,0.0,0.20486894357046387
48.42,-3.1237627156878798,0.6708585458764803,0.0,-3.350688782609314e-06,9.827554021205787e-07,-0.3440460778033533,0.9389527326946836,0.5077161411946783,0.03462334094432895,0.0,0.0,0.0,0.20457681508588635
48.43,-3.1197335499428345,0.6679001279266112,0.0,-3.3207305846734397e-06,9.937700034631915e-07,-0.3431037840123371,0.939297468235633,0.5077118109928803,0.03457665478566053,0.0,0.0,0.0,0.20430079909885016
48.44,-3.1156619068400038,0.6649226057107503,0.0,-3.29347169696521e-06,1.0035781031969374e-06,-0.34215373153714845,0.9396439570379406,0.5077077362667197,0.034533034654238924,0.0,0.0,0.0,0.20404293234897178
48.45,-3.1115912639805323,0.6619579212511536,0.0,-3.26895151774959e-06,1.0121821257858878e-06,-0.3412060043593831,0.9399885140838637,0.5077039585459427,0.03449273417276189,0.0,0.0,0.0,0.20380465002218445
48.46,-3.107492851678434,0.6589852206766668,0.0,-3.2467548393466526e-06,1.0197463027797705e-06,-0.34025383465194964,0.9403335967292172,0.5077004282965143,0.034455223100787954,0.0,0.0,0.0,0.20358289010789746
48.47,-3.1033545844316768,0.6559960143980816,0.0,-3.226629092841973e-06,1.0263727328569805e-06,-0.339294379758976,0.9406802158377802,0.5076971270542092,0.03442022322529514,0.0,0.0,0.0,0.20337600461152675
48.480000000000004,-3.0993775600308062,0.6531346524453231,0.0,-3.2092278443187113e-06,1.0318846059906497e-06,-0.33837467418719885,0.9410114416521522,0.5076503403903757,0.034364442479733796,0.0,0.0,0.0,0.2030464423838009
48.49,-3.09528257277729,0.6501999831861643,0.0,-3.1931182046200306e-06,1.0367586724600466e-06,-0.33743034456493,0.9413504761331322,0.5075773473481009,0.03429525595194693,0.0,0.0,0.0,0.20263784891656708
48.5,-3.091207228010569,0.6472909591773107,0.0,-3.1787239143580293e-06,1.0408814380806274e-06,-0.33649311657073283,0.9416859050493803,0.5075079005031751,0.034230310269861196,0.0,0.0,0.0,0.2022542638223707
48.51,-3.0871996969208095,0.644441549920011,0.0,-3.1660055824668303e-06,1.0442956924573607e-06,-0.3355738624396246,0.9420138830983638,0.507444498455266,0.034171091627899414,0.0,0.0,0.0,0.2019044822550256
48.52,-3.0830116591416052,0.641475803440712,0.0,-3.1541034815599047e-06,1.0472431459377555e-06,-0.3346156073716005,0.9423546917447606,0.5073831854935195,0.034113825712998605,0.0,0.0,0.0,0.20156624172097135
48.53,-3.079028217581082,0.6386660892552276,0.0,-3.143951871194237e-06,1.0495233075626906e-06,-0.3337063275692431,0.9426770781194248,0.5073292344497772,0.03406342524637187,0.0,0.0,0.0,0.20126861589692185
48.54,-3.074807357964607,0.6357010358459841,0.0,-3.134342013444411e-06,1.0514244408904666e-06,-0.33274506303592466,0.9430168097238097,0.5072763429645821,0.03401401340933328,0.0,0.0,0.0,0.20097681912975854
48.550000000000004,-3.0707643530556896,0.6328723310154487,0.0,-3.126114796915585e-06,1.0528056560289157e-06,-0.3318263226740058,0.943340492696485,0.5072295021391682,0.03397026187672563,0.0,0.0,0.0,0.20071840030708835
48.56,-3.0666864780935543,0.630030703564365,0.0,-3.1187053444918943e-06,1.05379788084423e-06,-0.3309015847195721,0.9436652673087981,0.5071857589796185,0.033929386116244166,0.0,0.0,0.0,0.20047702599212616
48.57,-3.0625907642321613,0.6271882147390376,0.0,-3.1120739356131026e-06,1.0544279958397002e-06,-0.32997466685091986,0.9439897805971911,0.5071450871080144,0.033891390091712735,0.0,0.0,0.0,0.20025261624224946
48.58,-3.0584347544274784,0.624315388736846,0.0,-3.1060960151263433e-06,1.0547249504071576e-06,-0.329036376491153,0.9443172385230792,0.5071922317025996,0.03384441371095121,0.0,0.0,0.0,0.19997543394192469
48.59,-3.0543180646246118,0.6214809752070363,0.0,-3.100844212303342e-06,1.0547176847772616e-06,-0.32810964190184705,0.9446396349714157,0.507337361677479,0.03378788568374024,0.0,0.0,0.0,0.1996419778592625
