time,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,linear_velocity_x,linear_velocity_y,linear_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
0.54,1.609381321301881e-11,-9.31554634285752e-20,0.0,0.0,0.0,-5.388785431816099e-10,1.0,-9.98650189494534e-12,0.0,0.0,0.0,0.0,-2.6744293963957463e-10
0.55,1.5836503195950354e-11,-9.287778854591298e-20,0.0,0.0,0.0,-5.395809857868568e-10,1.0,-4.147592528793771e-11,0.0,0.0,0.0,0.0,-1.7376044183910704e-11
0.56,1.577908225326659e-11,-9.281584212811917e-20,0.0,0.0,0.0,-5.39722697585371e-10,1.0,1.987951779597702e-11,0.0,0.0,0.0,0.0,-4.3545117498677063e-11
0.5700000000000001,1.5699031825587225e-11,-9.272929162380937e-20,0.0,0.0,0.0,-5.401421208066086e-10,1.0,-3.9107718691394956e-11,0.0,0.0,0.0,0.0,-1.218502372600082e-10
0.58,1.560979553489648e-11,-9.263282919454751e-20,0.0,0.0,0.0,-5.404186579215329e-10,1.0,2.1184363862029347e-11,0.0,0.0,0.0,0.0,9.663253506935473e-12
0.59,1.542336980316436e-11,-9.24313607310964e-20,0.0,0.0,0.0,-5.403601236261423e-10,1.0,-6.082819222706754e-11,0.0,0.0,0.0,0.0,8.859222267317783e-12
0.6,1.5287211597673033e-11,-9.228390021938304e-20,0.0,0.0,0.0,-5.393812890577925e-10,1.0,3.290514615360235e-11,0.0,0.0,0.0,0.0,3.7941977115228956e-10
0.61,1.5327063944337887e-11,-9.232676527445829e-20,0.0,0.0,0.0,-5.386488643243301e-10,1.0,-2.4392759407597863e-11,0.0,0.0,0.0,0.0,-8.227763108417286e-11
0.62,1.5413393990208537e-11,-9.241991655039768e-20,0.0,0.0,0.0,-5.391251975216937e-10,1.0,5.1710553373704e-11,0.0,0.0,0.0,0.0,-1.3627488281944802e-10
0.63,1.6043229353789326e-11,-9.309935948038436e-20,0.0,0.0,0.0,-5.393260861991535e-10,1.0,7.549642064603252e-11,0.0,0.0,0.0,0.0,5.2651850499791227e-11
0.64,1.633758777761435e-11,-9.341663109380936e-20,0.0,0.0,0.0,-5.399969893488532e-10,1.0,-1.8845566119898632e-11,0.0,0.0,0.0,0.0,-3.267599504122886e-10
0.65,1.6300503420832764e-11,-9.33765007704983e-20,0.0,0.0,0.0,-5.406544127193777e-10,1.0,1.1541107933775978e-11,0.0,0.0,0.0,0.0,6.379232389930039e-11
0.66,1.6355593006666586e-11,-9.343604902261742e-20,0.0,0.0,0.0,-5.408931198745083e-10,1.0,-6.645518294995491e-13,0.0,0.0,0.0,0.0,-1.607209886782362e-10
0.67,1.645738383222976e-11,-9.354625706817758e-20,0.0,0.0,0.0,-5.413404165264103e-10,1.0,2.0879501975226677e-11,0.0,0.0,0.0,0.0,-5.28340240617622e-11
0.68,1.685999673826745e-11,-9.39823607909807e-20,0.0,0.0,0.0,-5.416327395030899e-10,1.0,5.952216431183581e-11,0.0,0.0,0.0,0.0,-6.623141661676885e-11
0.6900000000000001,1.720586881363428e-11,-9.435713572414118e-20,0.0,0.0,0.0,-5.416378674751731e-10,1.0,7.176710658197733e-12,0.0,0.0,0.0,0.0,6.608875160788499e-11
0.7000000000000001,1.734812409493038e-11,-9.45111482286435e-20,0.0,0.0,0.0,-5.412743273762336e-10,1.0,2.0919563868672147e-11,0.0,0.0,0.0,0.0,7.807238448233527e-11
0.71,1.730682417948962e-11,-9.446630143163364e-20,0.0,0.0,0.0,-5.416137861471468e-10,1.0,-2.8755651442833234e-11,0.0,0.0,0.0,0.0,-2.1227390319639896e-10
0.72,1.7174292028362963e-11,-9.432261118799942e-20,0.0,0.0,0.0,-5.426917877071034e-10,1.0,2.443299528542011e-12,0.0,0.0,0.0,0.0,-2.1593659826068278e-10
0.73,1.7322409378657e-11,-9.448349610656772e-20,0.0,0.0,0.0,-5.430880651250928e-10,1.0,2.6865411433889296e-11,0.0,0.0,0.0,0.0,5.5113415901511836e-11
0.74,1.7463123859490436e-11,-9.463629438339164e-20,0.0,0.0,0.0,-5.426954988944525e-10,1.0,1.999555765645265e-12,0.0,0.0,0.0,0.0,1.2736769498754872e-10
0.75,1.7426424271480246e-11,-9.459649694365842e-20,0.0,0.0,0.0,-5.422424660064437e-10,1.0,-9.235020188294035e-12,0.0,0.0,0.0,0.0,5.4001599169319496e-11
0.76,1.750360105923424e-11,-9.468019511105018e-20,0.0,0.0,0.0,-5.421972528975985e-10,1.0,2.4438408379160962e-11,0.0,0.0,0.0,0.0,-3.517066582444506e-11
0.77,1.7619248599123633e-11,-9.480562479851316e-20,0.0,0.0,0.0,-5.421235332841276e-10,1.0,-8.774113834676318e-13,0.0,0.0,0.0,0.0,6.40375314903778e-11
0.78,1.7595085051732766e-11,-9.477943135823462e-20,0.0,0.0,0.0,-5.420143210774664e-10,1.0,-3.694389790229428e-12,0.0,0.0,0.0,0.0,-1.9009766361029597e-11
0.79,1.75563247800377e-11,-9.473740724032595e-20,0.0,0.0,0.0,-5.42133453055086e-10,1.0,-3.829324826972228e-12,0.0,0.0,0.0,0.0,-2.3539310723824013e-11
0.8,1.740778412504845e-11,-9.45762188851091e-20,0.0,0.0,0.0,-5.427151216318244e-10,1.0,-1.6606374946151168e-11,0.0,0.0,0.0,0.0,-1.3015376234955112e-10
0.81,1.737087546502331e-11,-9.45361471639518e-20,0.0,0.0,0.0,-5.428986323740619e-10,1.0,-3.5838988491437104e-12,0.0,0.0,0.0,0.0,-3.5941982591496145e-11
0.8200000000000001,1.7702154465397275e-11,-9.489597564687562e-20,0.0,0.0,0.0,-5.431523437883783e-10,1.0,3.322130720187172e-11,0.0,0.0,0.0,0.0,-5.0472070974334345e-11
0.8300000000000001,1.7575698403778032e-11,-9.475883878866625e-20,0.0,0.0,0.0,-5.41938501595167e-10,1.0,-1.2842786761018769e-11,0.0,0.0,0.0,0.0,2.455222825188423e-10
0.84,1.7569438966977544e-11,-9.475205804517487e-20,0.0,0.0,0.0,-5.414627610838951e-10,1.0,-5.461787281244097e-13,0.0,0.0,0.0,0.0,9.155224287653434e-11
